Briarwood Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station (Standard),Production meter L-N voltage,Production meter active power,"SunGrow SG125HV Inverter - 1, Line kW","SunGrow SG125HV Inverter - 2, Line kW","SunGrow SG125HV Inverter - 3, Line kW","SunGrow SG125HV Inverter - 4, Line kW","SunGrow SG125HV Inverter - 5, Line kW","SunGrow SG125HV Inverter - 6, Line kW","SunGrow SG125HV Inverter - 7, Line kW","SunGrow SG125HV Inverter - 8, Line kW","SunGrow SG125HV Inverter - 9, Line kW","SunGrow SG125HV Inverter - 10, Line kW","SunGrow SG125HV Inverter - 11, Line kW","SunGrow SG125HV Inverter - 12, Line kW","SunGrow SG125HV Inverter - 13, Line kW","SunGrow SG125HV Inverter - 14, Line kW","SunGrow SG125HV Inverter - 15, Line kW","SunGrow SG125HV Inverter - 16, Line kW"
9/2/2023 12:15:00 AM,-0.1256702,10.56269,64.55466,0,7.581365,-2.804331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 12:30:00 AM,-0.1863871,10.68606,64.64694,0,7.582161,-2.807202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 12:45:00 AM,-0.2184573,10.78074,64.68299,0,7.590491,-2.815959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 1:00:00 AM,-0.3398822,10.86692,64.84093,0,7.588877,-2.815009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 1:15:00 AM,-0.1859045,10.75089,64.81219,0,7.590953,-2.818743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 1:30:00 AM,0.007619407,10.65106,64.78006,0,7.599509,-2.82587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 1:45:00 AM,0.1886111,10.51943,64.76931,0,7.607584,-2.833949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 2:00:00 AM,-0.02709849,10.22099,64.59476,0,7.573169,-2.80342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 2:15:00 AM,-0.2574903,10.00914,64.17897,0,7.561513,-2.792677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 2:30:00 AM,-0.1437777,9.98488,63.91523,0,7.56486,-2.795277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 2:45:00 AM,-0.278362,10.01131,63.77657,0,7.569624,-2.80075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 3:00:00 AM,0.1136885,9.82657,63.58375,0,7.578075,-2.808462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 3:15:00 AM,-0.06111508,9.46002,63.30695,0,7.580153,-2.81143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 3:30:00 AM,0.2409264,9.182405,62.92057,0,7.576505,-2.808558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 3:45:00 AM,0.3088546,9.263595,62.8209,0,7.574614,-2.808079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 4:00:00 AM,0.00103318,9.283185,62.5513,0,7.576348,-2.810072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 4:15:00 AM,-0.08662114,9.116705,62.32771,0,7.581466,-2.814394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/2/2023 4:30:00 AM,0.08060433,8.766035,62.03043,0,7.581826,-2.816081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
