
I.

Detected missing values in the 'POA Irradiance' column.
All have been filled with a placeholder value of -999.
It seems that all the missing values occur during night time hours.


II.

All good! When POA Irradiance >= 100, the Temperature column has no missing values .

All good! When POA Irradiance >= 100, the Wind Speed column has no missing values .


III.

Detected missing 'Meter Power' values during daytime.
The missing 'Meter Power' values in the following rows cannot be auto-filled due to missing inverter values.
These have been filled with a placeholder value of -999.
Kindly document this discrepancy in the 'Data Issues' spreadsheet for further review.
+-------+---------------------+----------------+-------------+------------+-------------+---------------+------------+------------+------------+------------+-----------+
| Index |      Timestamp      | POA Irradiance | Temperature | Wind Speed | Meter Power | Meter Voltage | Inverter_1 | Inverter_2 | Inverter_3 | Inverter_4 | Day/Night |
|  1060 | 2023-08-12 00:30:00 |      1.0       |   65.49667  |    1.95    |     0.0     |    12.34822   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1061 | 2023-08-12 00:45:00 |      1.0       |    65.18    |    2.15    |     0.0     |    12.33511   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1062 | 2023-08-12 01:00:00 |      1.0       |   62.97333  |    1.81    |     0.0     |    12.34133   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1063 | 2023-08-12 01:15:00 |      1.0       |   63.85667  |  1.286667  |     0.0     |    12.33411   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1064 | 2023-08-12 01:30:00 |      1.0       |    65.87    |  1.126667  |     0.0     |    12.34378   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1065 | 2023-08-12 01:45:00 |      1.0       |   65.99667  |  1.343333  |     0.0     |    12.33922   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1066 | 2023-08-12 02:00:00 |      1.0       |   62.40667  |  1.516667  |     0.0     |     12.351    |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1067 | 2023-08-12 02:15:00 |      1.0       |   62.13667  |  1.823333  |     0.0     |    12.32878   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1068 | 2023-08-12 02:30:00 |      1.0       |    61.64    |  2.173333  |     0.0     |    12.26934   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1069 | 2023-08-12 02:45:00 |      1.0       |   61.38667  |  2.553333  |     0.0     |    12.26878   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1070 | 2023-08-12 03:00:00 |      2.0       |   60.75667  |  3.523333  |     0.0     |    12.29655   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1071 | 2023-08-12 03:15:00 |      2.0       |   63.09667  |  3.493333  |     0.0     |    12.31411   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1072 | 2023-08-12 03:30:00 |      1.0       |     62.7    |  4.103333  |     0.0     |     12.301    |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1073 | 2023-08-12 03:45:00 |      1.0       |   61.09667  |  3.416667  |     0.0     |    12.29889   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1074 | 2023-08-12 04:00:00 |      2.0       |   61.61333  |  3.913333  |     0.0     |    12.32633   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1075 | 2023-08-12 04:15:00 |      1.0       |    60.23    |    3.28    |     0.0     |    12.34833   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1076 | 2023-08-12 04:30:00 |      1.0       |   59.73667  |  2.933333  |     0.0     |    12.33567   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1077 | 2023-08-12 04:45:00 |      1.0       |    58.88    |  4.226666  |     0.0     |    12.29656   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1078 | 2023-08-12 05:00:00 |      1.0       |   59.57333  |    4.32    |     0.0     |    12.29133   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1079 | 2023-08-12 05:15:00 |      1.0       |   58.98333  |  4.406667  |     0.0     |    12.28856   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1082 | 2023-08-12 06:00:00 |      2.0       |    58.39    |    4.77    |  -17.98433  |    12.29678   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1178 | 2023-08-13 06:00:00 |      1.0       |   57.53667  |    0.96    |  -19.20233  |    12.29778   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1274 | 2023-08-14 06:00:00 |      1.5       |   68.27666  |  3.973333  |  -19.45433  |     12.274    |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1370 | 2023-08-15 06:00:00 |      0.5       |   74.03667  |    4.14    |  -19.30867  |    12.24111   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1371 | 2023-08-15 06:15:00 |      2.5       |   73.76667  |    5.62    |  -19.23067  |    12.22656   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1562 | 2023-08-17 06:00:00 |      0.5       |   69.64667  |    4.24    |  -19.24567  |    12.22456   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1563 | 2023-08-17 06:15:00 |      2.0       |    69.71    |    3.77    |   -19.273   |    12.22933   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1564 | 2023-08-17 06:30:00 |      6.0       |   70.03333  |  5.133333  |    -1.016   |    12.23044   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1617 | 2023-08-17 19:45:00 |      3.5       |    88.25    |  2.703333  |  -13.22367  |    12.33489   |    0.0     |    0.0     |    0.0     |    0.0     |    Day    |
|  1618 | 2023-08-17 20:00:00 |      0.5       |   87.57667  |    2.59    |  -22.58733  |    12.31778   |    0.0     |    0.0     |    0.0     |    0.0     |    Day    |
|  1644 | 2023-08-18 02:30:00 |      0.5       |    77.77    |  3.113333  |   -19.358   |    12.24467   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
|  1648 | 2023-08-18 03:30:00 |      0.5       |   76.79667  |  2.136667  |  -19.23233  |    12.22222   |    0.0     |    0.0     |    0.0     |    0.0     |   Night   |
