Brush Creek Monthly
Start date:,9/1/2023 12:00:00 AM
End date:,9/30/2023 12:00:00 AM

Timestamp,POA Sensor,Weather station module temperature,Weather station ambient temperature,Max wind speed - Weather Station 1 (Standard without POA),Production meter L-L voltage,Production meter active power,"Inverter - 1 CPS SCH125KTL, Active Power","Inverter - 2 CPS SCH125KTL, Active Power","Inverter - 3 CPS SCH125KTL, Active Power","Inverter - 4 CPS SCH125KTL, Active Power","Inverter - 5 CPS SCH125KTL, Active Power","Inverter - 6 CPS SCH125KTL, Active Power","Inverter - 7 CPS SCH125KTL, Active Power","Inverter - 8 CPS SCH125KTL, Active Power","Inverter - 9 CPS SCH125KTL, Active Power","Inverter - 10 CPS SCH125KTL, Active Power","Inverter - 11 CPS SCH125KTL, Active Power","Inverter - 12 CPS SCH125KTL, Active Power","Inverter - 13 CPS SCH100KTL, Active Power","Inverter - 14 CPS SCH100KTL, Active Power","Inverter - 15 CPS SCH125KTL, Active Power","Inverter - 16 CPS SCH125KTL, Active Power","Inverter - 17 CPS SCH125KTL, Active Power","Inverter - 18 CPS SCH125KTL, Active Power"
9/1/2023 8:15:00 PM,-2.330529,68.90239,72.89636,2,12.65473,-1.239373,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 8:30:00 PM,-2.357624,67.26349,71.4699,2,12.67456,-1.316763,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 8:45:00 PM,-2.42222,66.13584,70.58333,1,12.68452,-1.289033,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 9:00:00 PM,-2.404333,64.4062,69.24299,1,12.69295,-1.304938,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 9:15:00 PM,-2.489733,62.38647,67.52869,0,12.70978,-1.263226,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 9:30:00 PM,-2.347324,60.94728,66.09215,1,12.70808,-1.302051,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 9:45:00 PM,-2.324546,59.68951,65.21616,0,12.68865,-1.273948,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 10:00:00 PM,-2.090334,58.14676,63.83877,0,12.70958,-1.818499,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 10:15:00 PM,-2.285986,57.24155,62.62778,0,12.73405,-1.365817,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 10:30:00 PM,-2.089244,56.47628,61.78776,0,12.74336,-1.6085,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 10:45:00 PM,-2.07442,57.27987,61.88432,0,12.69812,-1.595901,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 11:00:00 PM,-2.046873,56.21628,61.20644,0,12.69115,-1.508544,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
9/1/2023 11:15:00 PM,-2.104379,55.53834,60.43392,0,12.72635,-1.660837,0,,0,0,0,0,0,0,0,,0,0,0,0,0,,0,
