Freemont Solar Center,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Timestamp,POA*,"TMIEC Inverter - A, Active Power P","TMIEC Inverter - B, Active Power P","TMIEC Inverter - C, Active Power P",Production meter active power
,W/m²,kW,kW,kW,kW
2023-08-16 03:00:00,0,,,,0
2023-08-16 04:00:00,0,,,,0
2023-08-16 05:00:00,0,,,,0
2023-08-16 06:00:00,2.134272,,,,0
2023-08-16 07:00:00,77.27202,,,,0
2023-08-16 08:00:00,285.4567,,0,10.46943,-1.093333
2023-08-16 09:00:00,523.4487,,794.6147,777.6196,1571.719
2023-08-16 10:00:00,660.0875,,1093.357,1036.752,2085.317
2023-08-16 11:00:00,902.8685,,1416.309,1330.677,2738.173
2023-08-16 12:00:00,965.2311,,1480.729,1470.836,2924.587
2023-08-16 13:00:00,1038.071,,1544.823,1545.746,3060.389
2023-08-16 14:00:00,1064.642,,1556.057,1563.656,3073.031
2023-08-16 15:00:00,942.1136,,1379.775,1370.836,2711.74
2023-08-16 16:00:00,573.8509,,946.9841,907.7109,1823.014
2023-08-16 17:00:00,498.7344,,760.6907,786.9099,1531.167
2023-08-16 18:00:00,230.3967,,300.906,316.257,605.2648
2023-08-16 19:00:00,40.14959,,50.07083,50.90838,94.02832
2023-08-16 20:00:00,0.3957089,,0,0,-6.549685
2023-08-16 21:00:00,0,,0,0,-9.599999
2023-08-16 22:00:00,0,,0,0,-9.599999
2023-08-16 23:00:00,0,,0,0,-9.599999
2023-08-17 00:00:00,0,,0,0,-2.813333
2023-08-17 01:00:00,0,,,,0
2023-08-17 02:00:00,0,,,,0
2023-08-17 03:00:00,0,,,,0
2023-08-17 04:00:00,0,,,,0
2023-08-17 05:00:00,0,,,,0
2023-08-17 06:00:00,0.7960088,,,,0
2023-08-17 07:00:00,55.05318,,90.53635,88.21922,84.65323
2023-08-17 08:00:00,227.1611,,349.7324,322.6094,656.7507
2023-08-17 09:00:00,445.8853,,728.8708,679.0125,1401.719
2023-08-17 10:00:00,643.3444,,1040.399,990.1009,1990.922
2023-08-17 11:00:00,707.4557,,1193.933,1173.961,2309.476
2023-08-17 12:00:00,587.4915,,891.9528,882.9683,1716.776
2023-08-17 13:00:00,657.6077,,855.9404,827.5569,1727.393
2023-08-17 14:00:00,718.6941,,1149.672,1013.599,2050.964
2023-08-17 15:00:00,841.3815,,1329.524,1250.67,2542.034
2023-08-17 16:00:00,609.5178,,992.4658,1022.591,1968.814
2023-08-17 17:00:00,460.4358,,702.8108,730.6328,1418.216
2023-08-17 18:00:00,228.8427,,295.7902,312.6372,597.6123
2023-08-17 19:00:00,39.48318,,45.26756,44.75211,87.67491
2023-08-17 20:00:00,0,,0,0,-9.323686
2023-08-17 21:00:00,0,,0,0,-9.599999
2023-08-17 22:00:00,0,,0,0,-9.599999
2023-08-17 23:00:00,0,,0,0,-9.573826
2023-08-18 00:00:00,0,,,,-0.4608403
2023-08-18 01:00:00,0,,,,0
2023-08-18 02:00:00,0,,,,0
2023-08-18 03:00:00,0,,,,0
2023-08-18 04:00:00,0,,,,0
2023-08-18 05:00:00,0,,,,0
2023-08-18 06:00:00,1.289153,,,,0
2023-08-18 07:00:00,66.32056,,,,0
2023-08-18 08:00:00,264.5251,,,,0
2023-08-18 09:00:00,496.2557,,695.9246,675.1096,1371.755
2023-08-18 10:00:00,704.5777,,1120.935,1105.357,2216.452
2023-08-18 11:00:00,889.3179,,1345.862,1378.468,2758.802
2023-08-18 12:00:00,869.7386,,1358.406,1256.52,2562.167
2023-08-18 13:00:00,1035.627,,1579.746,1575.501,3119.213
2023-08-18 14:00:00,924.2575,,1335.223,1401.708,2703.726
2023-08-18 15:00:00,848.5498,,1336.365,1357.939,2657.07
2023-08-18 16:00:00,684.2327,,1083.269,1101.181,2160.057
2023-08-18 17:00:00,459.0938,,707.7287,733.8158,1424.777
2023-08-18 18:00:00,224.9728,,292.1302,308.0586,588.8241
2023-08-18 19:00:00,37.11435,,46.10562,50.15667,94.57411
2023-08-18 20:00:00,0.06989191,,0,0,-8.575862
2023-08-18 21:00:00,0,,0,0,-9.599999
2023-08-18 22:00:00,0,,0,0,-9.599999
2023-08-18 23:00:00,0,,0,0,-5.967999
2023-08-19 00:00:00,0,,,,0
2023-08-19 01:00:00,0,,,,0
2023-08-19 02:00:00,0,,,,0
2023-08-19 03:00:00,0,,,,0
2023-08-19 04:00:00,0,,,,0
2023-08-19 05:00:00,0,,,,0
2023-08-19 06:00:00,1.311931,,0,0,-1.922667
2023-08-19 07:00:00,64.25379,,83.97643,79.72552,156.2847
2023-08-19 08:00:00,240.5509,,360.2735,343.356,700.9119
2023-08-19 09:00:00,475.9027,,755.2556,721.4486,1474.913
2023-08-19 10:00:00,696.2535,,1127.293,1112.258,2227.056
2023-08-19 11:00:00,856.0636,,1373.828,1364.202,2719.81
2023-08-19 12:00:00,958.6193,,1523.938,1520.122,3015.437
2023-08-19 13:00:00,972.626,,1515.021,1516.15,2999.371
